Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType,ElectronicConfiguration,C# Property - Copy into PeriodicTable.cs
Du,Dummy,0,FALSE,#808080,0,0,0,0,0|1|2|3|4|5|6|7|8|9|10,,,,0,19,pseudo,,public Element Du { get; private set; } // Dummy - Atomic Number 0
M,Metal,0,FALSE,#808080,0,0,0,0,0|1|2|3|4|5|6|7|8|9|10,,,,1,19,pseudo,,public Element M { get; private set; } // Metal - Atomic Number 0
R,Residue,0,FALSE,#808080,0,0,0,0,0|1|2|3|4|5|6|7|8|9|10,,,,2,19,pseudo,,public Element R { get; private set; } // Residue - Atomic Number 0
X,Halogen,0,FALSE,#808080,0,0,0,0,0|1|2|3|4|5|6|7|8|9|10,,,,3,19,pseudo,,public Element X { get; private set; } // Halogen - Atomic Number 0
D,Deuterium,1,FALSE,#808080,0,0,0,2.014,1,,,,4,19,pseudo,,public Element D { get; private set; } // Deuterium - Atomic Number 1
T,Tritium,1,FALSE,#808080,0,0,1,3.016,1,,,,5,19,pseudo,,public Element T { get; private set; } // Tritium - Atomic Number 1
H,Hydrogen,1,FALSE,#808080,0.31,1.2,1,1.008,1,1|2|3,1,1,0,0,non_metal,1s1,public Element H { get; private set; } // Hydrogen - Atomic Number 1
He,Helium,2,FALSE,#D9FFFF,0.28,1.4,0,4.002602,0,3|4,18,1,0,17,noble_gas,1s2,public Element He { get; private set; } // Helium - Atomic Number 2
Li,Lithium,3,FALSE,#CC80FF,1.28,1.82,1,6.94,1,,1,2,1,0,alkali_metal,He 2s1,public Element Li { get; private set; } // Lithium - Atomic Number 3
Be,Beryllium,4,FALSE,#C2FF00,0.96,0,2,9.012182,2,,2,2,1,1,alkaline_earth_metal,He 2s2,public Element Be { get; private set; } // Beryllium - Atomic Number 4
B,Boron,5,TRUE,#FFB5B5,0.84,0,3,10.81,3,9|11,13,2,1,12,metalloid,He 2s2 2p1,public Element B { get; private set; } // Boron - Atomic Number 5
C,Carbon,6,TRUE,,0.76,1.7,4,12.011,4,11|12|13|14,14,2,1,13,non_metal,He 2s2 2p2,public Element C { get; private set; } // Carbon - Atomic Number 6
N,Nitrogen,7,TRUE,#3050F8,0.71,1.55,3,14.007,3|5,14|15,15,2,1,14,non_metal,He 2s2 2p3,public Element N { get; private set; } // Nitrogen - Atomic Number 7
O,Oxygen,8,TRUE,#FF0D0D,0.66,1.52,2,15.999,2,16|17|18,16,2,1,15,non_metal,He 2s2 2p4,public Element O { get; private set; } // Oxygen - Atomic Number 8
F,Fluorine,9,TRUE,#90E050,0.57,1.47,1,18.9984032,1,19,17,2,1,16,halogen,He 2s2 2p5,public Element F { get; private set; } // Fluorine - Atomic Number 9
Ne,Neon,10,FALSE,#B3E3F5,0.58,1.54,0,20.1797,0,,18,2,1,17,noble_gas,He 2s2 2p6,public Element Ne { get; private set; } // Neon - Atomic Number 10
Na,Sodium,11,FALSE,#AB5CF2,1.66,2.27,1,22.98976928,1,,1,3,2,0,alkali_metal,Ne 3s1,public Element Na { get; private set; } // Sodium - Atomic Number 11
Mg,Magnesium,12,FALSE,#8AFF00,1.41,1.73,0,24.305,2,,2,3,2,1,alkaline_earth_metal,Ne 3s2,public Element Mg { get; private set; } // Magnesium - Atomic Number 12
